X,Y,OBJECTID,NAME,PMT_NBR,REFERENCE_POINT,CHANGED_DATE,CHANGED_BY,VERIFYDATE,VERIFIEDBY,INSERTED_DATE,INSERTED_BY,PERM_ID,PERM_NUM,PERM_NAME,PERM_TOTAL_ACRES,PTC_DESCRIPTION,CLAS_DESCRIPTION,FAC_L_ADDR_1,FAC_L_ADDR_2,FAC_LOCATION,FAC_FIC_COUNTY,COUNTY,REGION,RECOMCOM,PERMIT_STATUS,PERM_MW
-8742009.7808,4421117.8335,21,,RE0000118,FC,2019/12/03 11:33:44+00,SMTRIPP,2019/12/03 11:33:45+00,SMTRIPP,2019/10/25 16:11:58+00,SMTRIPP,750000000118,RE0000118,"Moody Creek Solar, LLC",1655,Solar,NOI - Active,,,,037,Charlotte,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8757968.9883,4682643.7635,22,,RE0000124,FC,2019/12/03 11:37:45+00,SMTRIPP,2019/12/03 11:37:46+00,SMTRIPP,2019/10/28 16:34:00+00,SMTRIPP,750000000124,RE0000124,"Mt. Jackson Solar III, LLC",130,Solar,NOI - Active,,,,171,Shenandoah,VRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8494790.899,4395984.4228,23,,RE0000006,FC,2019/12/03 11:14:03+00,SMTRIPP,2019/12/03 11:14:04+00,SMTRIPP,2019/10/31 13:21:44+00,SMTRIPP,750000000006,RE0000006,"Chesapeake Solar Project, LLC",920,Solar,NOI - Active,,,,550,Chesapeake,TRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8533997.1784,4432371.7906,24,,RE0000009,FC,2019/11/01 11:37:23+00,SMTRIPP,2019/11/01 11:37:23+00,SMTRIPP,2019/11/01 11:37:23+00,SMTRIPP,750000000009,RE0000009,Smithfield Solar Farm,122,Solar,NOI - Active,,,,093,Isle_of_Wight,TRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8631658.5469,4590625.1157,25,,RE0000025,PG,2019/11/01 14:11:13+00,SMTRIPP,2019/11/01 14:11:12+00,SMTRIPP,2019/11/01 14:11:13+00,SMTRIPP,750000000025,RE0000025,SolUnesco Racehorse,90,Solar,NOI - Active,,,,033,Caroline,NRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8984514.0595,4450006.8901,26,,RE0000135,FC,2019/11/18 18:56:11+00,SMTRIPP,2019/11/18 18:56:11+00,SMTRIPP,2019/11/18 18:56:11+00,SMTRIPP,750000000135,RE0000135,Volvo Group North America LLC - NRV Plant,,Solar,Permit - Active,4881 Cougar Trail Road,,4881 Cougar Trail Rd Rt 643,155,Pulaski County,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8800888.3293,4461509.9144,27,,RE0000136,FC,2019/11/19 14:56:36+00,SMTRIPP,2019/11/19 14:56:36+00,SMTRIPP,2019/11/19 14:56:36+00,SMTRIPP,750000000136,RE0000136,"Pigeon Run Solar, LLC",1118,Solar,NOI - Active,,,,031,Campbell,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8756931.7132,4473226.4289,28,Pamplin Solar LLC,RE0000078,FC,2019/12/06 15:31:08+00,SMTRIPP,2019/12/06 15:31:07+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000078,RE0000078,TPE Pamplin2 Solar,309,Solar,NOI - Active,,,,147,Prince_Edward,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8999617.4427,4421465.0211,29,,RE0000104,FC,2019/12/18 14:44:41+00,SMTRIPP,2019/12/18 14:44:41+00,SMTRIPP,2019/12/18 14:44:41+00,SMTRIPP,750000000104,RE0000104,"Wythe County Solar Project, LLC",858,Solar,Permit - Active,,,,197,Wythe,SWRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8544328.0724,4489265.5936,30,,RE0000150,FC,2020/01/16 11:38:21+00,SMTRIPP,2020/01/16 11:38:21+00,SMTRIPP,2020/01/16 11:38:21+00,SMTRIPP,750000000151,RE0000150,"Rochambeau Solar, LLC",192,Solar,Permit - Active,,,,095,James_City,TRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8796807.3567,4536684.455,31,,RE0000154,FC,2020/03/06 14:56:53+00,SMTRIPP,2020/03/06 14:56:53+00,SMTRIPP,2020/03/06 14:56:53+00,SMTRIPP,750000000155,RE0000154,Caden Energix Piney River LLC,389,Solar,NOI - Active,,,,009,Amherst,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8544772.7938,4489006.9224,32,"Rochambeau Solar, LLC",RE0000114,FC,2019/12/03 11:46:22+00,SMTRIPP,2019/12/03 11:46:23+00,SMTRIPP,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,,
-8533688.6008,4409789.8741,33,"TWE Myrtle Solar Project, LLC-Modification",RE0000011,PG,2020/10/14 16:02:03+00,SMTRIPP,2020/10/14 16:02:03+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000011,RE0000011,"TWE Myrtle Solar Project, LLC",120,Solar,Permit - Active,5188 Pruden Blvd,,,800,Suffolk,TRO,Producing Power,Solar Permit - Active Producing Power,
-8676443.6026,4511442.4252,34,Scott-II Solar LLC,RE0000018,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000018,RE0000018,"Scott-II Solar, LLC",720,Solar,Permit - Active,,,,145,Powhatan,PRO,Producing Power,Solar Permit - Active Producing Power,
-8774153.5065,4410907.0998,35,"Sunnybrook Farm Solar, LLC",RE0000030,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000030,RE0000030,"Sunnybrook Farm Solar, LLC",352,Solar,Permit - Active,,,,083,Halifax,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8737862.1279,4412091.8736,36,"Bluestone Farm Solar, LLC",RE0000014,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000014,RE0000014,"Bluestone Farm Solar, LLC",333,Solar,Permit - Active,,,,117,Mecklenburg,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8873157.6106,4395252.1558,37,Sol Leatherwood Solar LLC,RE0000079,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000079,RE0000079,"Sol Leatherwood Solar, LLC",322,Solar,Permit - Active,,,,089,Henry,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8625201.1259,4476296.4566,38,Children of Chesterfield Solar Power,RE0000094,FC,2019/12/03 11:15:51+00,SMTRIPP,2019/12/03 11:15:51+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000094,RE0000094,Children of Chesterfield Solar,165,Solar,NOI - Active,,,,041,Chesterfield,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8665040.034,4621643.3583,39,"Sol-Madison Solar, LLC",RE0000081,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000081,RE0000081,"Sol Madison Solar, LLC",647,Solar,Permit - Active,,,,137,Orange,NRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8609072.1561,4463494.7115,40,Rives Road Solar LLC,RE0000037,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000037,RE0000037,"Rives Road Solar, LLC",147,Solar,Permit - Active,,,,149,Prince_George,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8563919.7462,4462829.1593,41,"Spring Grove Solar II, LLC",RE0000074,FC,2019/12/06 14:53:42+00,SMTRIPP,2019/12/06 14:53:42+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000074,RE0000074,"Spring Grove Solar  II, LLC",1650,Solar,NOI - Active,,,,181,Surry,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8637186.4502,4674939.8518,42,Nokesville Solar LLC,RE0000061,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000061,RE0000061,"Nokesville Solar, LLC",300,Solar,Permit - Active,,,,153,Prince_William,NRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8794613.8062,4440595.1279,43,"Stagecoach Solar, LLC",RE0000064,FC,2019/12/06 14:05:49+00,SMTRIPP,2019/12/06 14:05:48+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000064,RE0000064,"Stagecoach Solar, LLC",318,Solar,NOI - Active,,,,083,Halifax,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8786694.8714,4416739.79,44,"Crystal Hill Solar, LLC",RE0000066,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000066,RE0000066,"Crystal Hill Solar, LLC",629,Solar,Permit - Active,,,,083,Halifax,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8558909.9239,4458025.9667,45,"Colonial Trail W Solar, LLC",RE0000032,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,,
-9022444.7288,4434090.0387,46,Sigora Solar,RE0000051,FC,2019/12/03 11:59:10+00,SMTRIPP,2019/12/03 11:59:11+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000051,RE0000051,Sigora Solar,126,Solar,NOI - Active,,,,197,Wythe,SWRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8594958.0693,4612059.5073,47,Port Conway Solar LLC,RE0000053,FC,2019/12/03 11:42:18+00,SMTRIPP,2019/12/03 11:42:18+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000053,RE0000053,"Port Conway Solar, LLC",250,Solar,NOI - Active,,,,099,King_George,NRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8815717.6439,4431108.149,48,"Sycamore Solar I, LLC",RE0000057,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,,
-8537192.827,4514569.1312,49,"Walnut Solar I, LLC",RE0000056,FC,2019/12/06 13:57:52+00,SMTRIPP,2019/12/06 13:57:51+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000056,RE0000056,"Walnut Solar I, LLC",1800,Solar,NOI - Active,,,,097,King_and_Queen,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8833850.921,4429160.7472,50,Whitehorn Solar LLC,RE0000106,FC,2019/12/16 16:30:40+00,SMTRIPP,2019/12/16 16:30:40+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000106,RE0000106,Whitehorn Solar LLC,700,Solar,Permit - Active,,,,143,Pittsylvania,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8727496.2796,4574816.0423,51,Rivanna Solar LLC,RE0000108,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000108,RE0000108,"Rivanna Solar, LLC",150,Solar,Permit - Active,,,,003,Albemarle,VRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8748153.5035,4659551.7214,52,Dogwood Solar LLC,RE0000107,FC,2019/12/03 11:20:49+00,SMTRIPP,2019/12/03 11:20:49+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000107,RE0000107,Dogwood Solar,340,Solar,NOI - Active,,,,139,Page,VRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8593642.0503,4532630.9302,53,Mechanicsville Solar,RE0000021,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000021,RE0000021,"Mechanicsville Solar, LLC",250,Solar,Permit - Active,,,,087,Henrico,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8618103.0612,4447333.8202,54,Reams Solar LLC,RE0000105,FC,2019/12/03 11:44:11+00,SMTRIPP,2019/12/03 11:44:12+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000105,RE0000105,"Lily Pond Solar, LLC",2000,Solar,NOI - Active,,,,053,Dinwiddie,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8646407.4889,4382855.2437,55,Fountain Creek Solar LLC,RE0000102,FC,2019/12/03 11:25:46+00,SMTRIPP,2019/12/03 11:25:46+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000102,RE0000102,Fountain Creek Solar,802,Solar,NOI - Active,,,,081,Greensville,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8732568.7748,4413566.8384,56,"Grasshopper Solar, LLC",RE0000029,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000029,RE0000029,"Grasshopper Solar, LLC",700,Solar,Permit - Active,,,"36.8204,  -78.4651",117,Mecklenburg,PRO,Producing Power,Solar Permit - Active Producing Power,
-8737882.6107,4413432.3757,57,Otter Creek Solar LLC,RE0000055,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000055,RE0000055,"Otter Creek Solar, LLC",685,Solar,Permit - Active,,,,117,Mecklenburg,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8747645.1075,4441875.7951,58,"Twitty's Creek Solar, LLC",RE0000019,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000019,RE0000019,"Twittys Creek Solar, LLC",130,Solar,Permit - Active,,,,037,Charlotte,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8601316.082,4512762.0549,59,"Briel Farm Solar, LLC",RE0000039,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000039,RE0000039,Briel Farm Solar LLC,230,Solar,Permit - Active,2701 Meadow Rd,,,087,Henrico,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8756408.7343,4684442.8467,60,Mt. Jackson Solar I LLC,RE0000044,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000044,RE0000044,"Mt. Jackson Solar I, LLC",185,Solar,Permit - Active,,,,171,Shenandoah,VRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8797449.3362,4377139.4265,61,"Powells Creek Farm Solar, LLC",RE0000045,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000045,RE0000045,"Powells Creek Farm Solar, LLC",710,Solar,Permit - Active,,,,083,Halifax,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8590554.4929,4533198.3963,62,"Hollyfield Solar-Dominion Energy Services, Inc.",RE0000049,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000049,RE0000049,Hollyfield,160,Solar,Permit - Active,,,,101,King_William,PRO,Producing Power,Solar Permit - Active Producing Power,
-8512948.4438,4501576.7155,63,"Gloucester Solar, LLC",RE0000048,FC,2020/10/14 15:03:08+00,SMTRIPP,2020/10/14 15:03:08+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000048,RE0000048,"Gloucester Solar, LLC",204,Solar,Permit - Active,9375 John Clayton Memorial Highway,,,073,Gloucester,PRO,Producing Power,Solar Permit - Active Producing Power,
-8724564.0128,4509393.9737,64,Buckingham II Solar LLC,RE0000063,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000063,RE0000063,Buckingham II Solar LLC,295,Solar,Permit - Active,,,,029,Buckingham,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8513551.1275,4518922.8088,65,"Puller Solar-Dominion Energy Services, Inc.",RE0000060,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000060,RE0000060,Puller Solar,125,Solar,Permit - Active,,,,119,Middlesex,PRO,Producing Power,Solar Permit - Active Producing Power,
-8798334.3774,4441197.8,66,"Water Strider Solar, LLC",RE0000069,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000069,RE0000069,"Water Strider Solar, LLC",1134,Solar,Permit - Active,,,,083,Halifax,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8537891.2455,4535600.2382,67,"Church View Solar, LLC",RE0000076,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,,
-8724951.4047,4509429.3344,68,Buckingham Solar I LLC,RE0000005,PG,2019/10/29 09:25:59+00,SMTRIPP,2019/10/29 09:25:59+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000005,RE0000005,"Buckingham Solar I, LLC",200,Solar,Permit - Active,,,,029,Buckingham,PRO,Producing Power,Solar Permit - Active Producing Power,
-8610771.7822,4498882.6822,69,Turner Solar LLC,RE0000071,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000071,RE0000071,"Turner Solar, LLC",463,Solar,Permit - Active,,,,087,Henrico,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8558496.8172,4393702.5531,70,Ho-Fel Solar Project,RE0000091,FC,2019/12/03 11:30:43+00,SMTRIPP,2019/12/03 11:30:43+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000091,RE0000091,Ho-Fel Solar Project,292,Solar,NOI - Active,,,,093,Isle_of_Wight,TRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8833603.5691,4459376.059,71,Danville Farm LLC,RE0000084,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000084,RE0000084,"Danville Farm, LLC",191,Solar,Permit - Active,,,,143,Pittsylvania,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8540167.9839,4445086.7374,72,Dragonfly Solar LLC,RE0000088,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000088,RE0000088,Altavista Solar LLC,1200,Solar,Permit - Active,,,,031,Campbell,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8587630.7978,4443010.3451,73,"Waverly Solar, LLC",RE0000082,FC,2019/12/06 15:40:14+00,SMTRIPP,2019/12/06 15:40:13+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000082,RE0000082,"Waverly Solar, LLC",2000,Solar,NOI - Active,,,,183,Sussex,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8543678.1525,4580092.9257,74,Westmoreland County Solar Project,RE0000092,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000092,RE0000092,Westmoreland County Solar Project,161,Solar,Permit - Active,,,,193,Westmoreland,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8524714.914,4396341.8984,75,"Pleasant Hill Solar, LLC",RE0000098,FC,2019/12/03 11:40:20+00,SMTRIPP,2019/12/03 11:40:21+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000098,RE0000098,Pleasant Hill Solar,160,Solar,Application - In Review,,,,800,Suffolk,TRO,Not Producing Power,Solar Application - In Review Not Producing Power,
-8638860.918,4395810.8953,76,Sadler Solar Project,RE0000100,FC,2019/12/03 11:49:43+00,SMTRIPP,2019/12/03 11:49:44+00,SMTRIPP,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,,
-8572046.069,4613243.7316,77,VSF Solar 1 LLC,RE0000085,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000085,RE0000085,"VSF Solar 1, LLC",114,Solar,NOI - Active,,,,193,Westmoreland,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8806571.6345,4478050.1206,78,Depot Solar,RE0000090,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000090,RE0000090,Depot Solar,150,Solar,Permit - Active,,,,031,Campbell,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8677589.1915,4502292.119,79,"HCE Amelia Solar I, LLC",RE0000103,FC,2019/12/03 11:29:32+00,SMTRIPP,2019/12/03 11:29:33+00,SMTRIPP,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,,
-8782403.6165,4393485.8986,80,"SB Solar, LLC",RE0000068,FC,2019/12/03 11:52:57+00,SMTRIPP,2019/12/03 11:52:58+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000068,RE0000068,"SB Solar, LLC",185,Solar,NOI - Active,,,,083,Halifax,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8672480.0721,4647206.13,81,"Culpeper North Solar, LLC",RE0000070,FC,2019/12/03 11:19:02+00,SMTRIPP,2019/12/03 11:19:02+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000070,RE0000070,"Culpeper N. Solar, LLC",296,Solar,NOI - Active,,,,047,Culpeper,NRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8817003.4953,4480120.0326,82,Bumblebee Solar,RE0000072,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000072,RE0000072,"Bumblebee Solar, LLC",260,Solar,NOI - Active,,,,031,Campbell,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8758290.479,4666461.4316,83,Endless Caverns Solar LLC,RE0000077,FC,2019/12/03 11:22:16+00,SMTRIPP,2019/12/03 11:22:17+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000077,RE0000077,"Endless Caverns Solar, LLC",243,Solar,NOI - Active,,,,165,Rockingham,VRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8756931.7132,4473226.4289,84,TPE Pamplin2 Solar,RE0000078,FC,2019/12/06 15:31:08+00,SMTRIPP,2019/12/06 15:31:07+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000078,RE0000078,TPE Pamplin2 Solar,309,Solar,NOI - Active,,,,147,Prince_Edward,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8762949.9789,4413682.8087,85,Halifax Solar LLC,RE0000035,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,,
-8760145.9521,4391141.0103,86,Sydnor Solar Farm LLC,RE0000033,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000033,RE0000033,Sydnor Solar Farm,20,Solar,NOI - Active,,,,117,Mecklenburg,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8589376.3987,4534296.5698,87,Hollyfield II Solar LLC,RE0000040,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000040,RE0000040,"Hollyfield II Solar, LLC",170,Solar,Permit - Active,,,,101,King_William,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8617895.2277,4431322.3669,88,Sappony Solar LLC,RE0000017,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000017,RE0000017,"Sappony Solar, LLC",371,Solar,Permit - Active,,,,183,Sussex,PRO,Producing Power,Solar Permit - Active Producing Power,
-8588579.3511,4383202.297,89,Southampton Solar LLC,RE0000015,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000015,RE0000015,"Southampton Solar, LLC",1200,Solar,Permit - Active,,,,175,Southampton,TRO,Producing Power,Solar Permit - Active Producing Power,
-8687767.8004,4581501.649,90,Belcher Solar LLC,RE0000028,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000028,RE0000028,"Belcher Solar, LLC",1305,Solar,Permit - Active,,,,109,Louisa,NRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8450045.2504,4490929.9528,91,Hecate Energy Cherrydale LLC,RE0000003,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000003,RE0000003,"Hecate Energy Cherrydale, LLC",236,Solar,Permit - Active,,,,131,Northampton,TRO,Producing Power,Solar Permit - Active Producing Power,
-8698193.0934,4731051.3511,92,Hecate Energy Clarke County LLC,RE0000004,FC,2020/10/14 15:25:14+00,SMTRIPP,2020/10/14 15:25:14+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000004,RE0000004,"Hecate Energy Clarke County, LLC",235,Solar,Permit - Active,,,,043,Clarke,VRO,Producing Power,Solar Permit - Active Producing Power,
-8880436.1241,4543478.042,93,"Rocky Forge Wind LLC, an affiliate of Apex Clean Energy Holdings, LLC",RE0000002,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000002,RE0000002,"Rocky Forge Wind, LLC",200,Wind,Permit - Active,,,,023,Botetourt,BRRO,Not Producing Power,Wind Permit - Active Not Producing Power,
-8547769.1806,4590198.7451,94,Montross Solar,RE0000075,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000075,RE0000075,Montross Solar,230,Solar,Permit - Active,,,,193,Westmoreland,PRO,Producing Power,Solar Permit - Active Producing Power,
-8635179.6826,4389361.5313,95,"Greensville County Solar Project, LLC",RE0000093,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,,750000000093,RE0000093,Greensville County Solar Project,1125,Solar,Permit - Active,,,,081,Greensville,PRO,Producing Power,Solar Permit - Active Producing Power,
