X,Y,OBJECTID,NAME,PMT_NBR,REFERENCE_POINT,CHANGED_DATE,CHANGED_BY,VERIFYDATE,VERIFIEDBY,INSERTED_DATE,INSERTED_BY,PERM_ID,PERM_NUM,PERM_NAME,PERM_TOTAL_ACRES,PTC_DESCRIPTION,CLAS_DESCRIPTION,FAC_L_ADDR_1,FAC_L_ADDR_2,FAC_LOCATION,FAC_FIC_COUNTY,COUNTY,REGION,RECOMCOM,PERMIT_STATUS,PERM_MW
-8861264.9041,4576355.6999,112,,RE0000132,PG,2019/11/18 18:03:30+00,SMTRIPP,2019/11/18 18:03:30+00,SMTRIPP,2019/11/18 18:03:30+00,SMTRIPP,750000000132,RE0000132,BARC Community Solar Project,5,Solar,Permit - Active,84 High Street,,,017,Bath,VRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8847925.1556,4486228.7439,113,,RE0000133,PG,2019/11/18 18:23:30+00,SMTRIPP,2019/11/18 18:23:30+00,SMTRIPP,2019/11/18 18:23:30+00,SMTRIPP,750000000133,RE0000133,"Bedford Solar, LLC",22,Solar,Permit - Active,1296 Draper Road,,,019,Bedford,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8535049.3702,4573774.859,114,,RE0000134,PG,2019/11/18 18:44:19+00,SMTRIPP,2019/11/18 18:44:19+00,SMTRIPP,2019/11/18 18:44:19+00,SMTRIPP,750000000134,RE0000134,Haynesville Correctional Center,5,Solar,Permit - Active,Barnsfield Rd,,Route 350,159,Richmond,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8687777.8192,4562346.2213,115,,RE0000140,FC,2019/11/20 16:06:24+00,SMTRIPP,2019/11/20 16:06:24+00,SMTRIPP,2019/11/20 16:06:24+00,SMTRIPP,750000000140,RE0000140,"Martin Solar Center, LLC",,Solar,NOI - Active,Martin Rd,,Parcel # 6814-34-5091,065,Fluvanna,VRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8708635.4182,4574595.2022,116,,RE0000142,FC,2019/11/20 16:47:11+00,SMTRIPP,2019/11/20 16:47:11+00,SMTRIPP,2019/11/20 16:47:11+00,SMTRIPP,750000000142,RE0000142,"Palmer Solar Center, LLC",41,Solar,NOI - Active,,,,065,Fluvanna,VRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8729272.8273,4416673.7207,117,,RE0000144,FC,2019/12/02 09:27:30+00,SMTRIPP,2019/12/02 09:27:31+00,SMTRIPP,2019/12/02 09:27:30+00,SMTRIPP,750000000144,RE0000144,"Seven Bridges Solar, LLC",2550,Solar,NOI - Active,,,,117,Mecklenburg,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8478673.5066,4396957.6174,118,,RE0000146,FC,2019/12/02 10:38:03+00,SMTRIPP,2019/12/02 10:38:03+00,SMTRIPP,2019/12/02 10:38:03+00,SMTRIPP,750000000146,RE0000146,Bedford Solar Center,566,Solar,Permit - Active,,,,550,Chesapeake,TRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8502912.9917,4530939.9654,119,,RE0000147,FC,2019/12/02 11:17:37+00,SMTRIPP,2019/12/02 11:17:36+00,SMTRIPP,2019/12/02 11:17:37+00,SMTRIPP,750000000147,RE0000147,"Rappahannock Solar, LLC",184,Solar,Permit - Active,,,,103,Lancaster,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8984875.9591,4451046.1655,120,BM&D Ltd.,RE0000031,FC,2019/12/03 10:53:09+00,SMTRIPP,2019/12/03 10:53:09+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000031,RE0000031,BM&D Ltd.,320,Solar,NOI - Active,,,,155,Pulaski,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8497940.0161,4392076.85,121,"Grassfield Solar, LLC",RE0000109,FC,2019/12/03 11:26:51+00,SMTRIPP,2019/12/03 11:26:51+00,SMTRIPP,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,,
